Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3qhlB30KknSejmIvZZLjOD,"5p9HO3XC5P3BLxJs5Mtrhm","End of Beginning","DECIDE","Djo",2022-09-16,159245,89,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"indie pop,pov: indie,psychedelic pop",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
4ZnkygoWLzcGbQYCm3lkae,"3WGpXCj9YhhfX11TToZcXP","Rush","Something To Give Each Other","Troye Sivan",2023-10-13,156391,86,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"australian pop,pop,viral pop",0.743,0.837,5,-7.634,0,0.0633,0.00288,0.0000286,0.104,0.378,126.023,4
41nIJErYY9goKvnCyG7ov6,"2uYWxilOVlUdk4oV9DvwqK","The Frost","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,168480,66,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"brooklyn indie,pov: indie",0.461,0.282,10,-17.201,1,0.03,0.901,0.0301,0.303,0.348,106.943,4
44zcMuVzpIb0RnzuxipJOn,"2Cg4UE0dOib6suUva3ieEH","How I'd Kill","How I'd Kill","Cowboy Malfoy",2023-02-02,143506,64,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"",0.514,0.368,5,-10.019,0,0.0515,0.73,0.0000072,0.204,0.436,89.318,3
5TtmI9sfXw4VXco0PE21mV,"65YhYi4Fz5Ibgq7ueev2Rm,7BFFr4BUABKAorAN43APPd,3VWrnOYO3VBCE9MAleAQM4","2 Aquarelles: Lento, ma non troppo","ENGLISH STRING MINIATURES, Vol. 4","Frederick Delius,Royal Northern Sinfonia,David Lloyd-Jones",2002-03-08,132120,66,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"classical,early modern classical,impressionism,post-romantic era,british orchestra,chamber orchestra,orchestral performance",0.176,0.0534,10,-27.626,1,0.0406,0.97,0.915,0.29,0.0332,71.673,5
2dOsUDI94FXz3S9hKi0z9E,"5iRPbkcPmqAFFwDUj6ywVS","Take off","REPUBLIC OF 2PM","2PM",2011-11-30,204000,49,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"k-pop,k-pop boy group",0.615,0.888,3,-4.79,1,0.0303,0.165,0,0.204,0.74,131.995,4
2R8MZR1RCP4cIJITHDPRbY,"7f4ignuCJhLXfZ9giKT7rH","Favorite (Vampire)","Favorite - The 3rd Album Repackage","NCT 127",2021-10-25,215586,63,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"k-pop,k-pop boy group",0.561,0.758,5,-3.87,0,0.0478,0.000831,0.00000308,0.15,0.178,149.944,4
0rFWuqFgHAfuzE8uSB9TWR,"3qm84nBOXUEQ2vnTfUTTFC","Live And Let Die","Use Your Illusion I","Guns N' Roses",1991-09-17,182733,75,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"glam metal,hard rock,rock",0.262,0.777,11,-8.671,1,0.0632,0.0109,0.113,0.12,0.264,152.5,4
4yQw7FR9lcvL6RHtegbJBh,"7nwUJBm0HE4ZxD3f5cy5ok","Think","Aretha Now","Aretha Franklin",1968-06-14,139733,70,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"classic soul,jazz blues,memphis soul,neo soul,soul,southern soul,vocal jazz",0.687,0.63,6,-10.817,1,0.0389,0.251,0,0.221,0.926,110.051,4
5K09WxKdlkroDyEVyOSySy,"7nwUJBm0HE4ZxD3f5cy5ok","(You Make Me Feel Like) A Natural Woman","Lady Soul (With Bonus Selections)","Aretha Franklin",1968-01-22,165333,73,spotify:user:ggspg3znn7mxxp7488yaxzdhf,2024-02-27T18:20:38Z,"classic soul,jazz blues,memphis soul,neo soul,soul,southern soul,vocal jazz",0.603,0.271,5,-10.083,1,0.0284,0.679,0,0.141,0.405,110.89,3
